NAME,ENTRY TIME,EXIT TIME/ENTRY TIME,STATUS
Elon Musk,12:09:46,Entry
Bill Gates,12:09:58,Entry
Mark Zuckerberg,12:10:15,Entry
Mark Zuckerberg,12:10:15,12:10:20,Exit
Elon Musk,12:09:46,12:10:30,Exit
Bill Gates,12:09:58,12:10:39,Exit
Bill Gatesss,12:10:51,Entry
Bill Gates,12:11:01,Entry
Elon Musk,12:11:06,Entry
Elon Musk,12:15:32,Entry
Bill Gates,12:15:47,Entry
Bill Gates,12:15:47,12:15:51,Exit
Bill Gates,12:21:04,12:21:04,Entry
Elon Musk,12:21:11,12:21:11,Entry
Mark Zuckerberg,12:21:18,12:21:18,Entry
Elon Musk,12:21:25,12:21:11,Exit
Bill Gates,12:21:38,12:21:04,Exit
Mark Zuckerberg,12:21:46,12:21:18,Exit
Mark Zuckerberg,12:25:33,12:25:33,Entry
Elon Musk,12:25:41,12:25:41,Entry
Bill Gatesss,12:25:52,12:25:52,Entry
Elon Musk,12:26:00,12:25:41,Exit
Mark Zuckerberg,12:30:33,12:30:33,Entry
Elon Musk,12:30:44,12:30:44,Entry
Bill Gatesss,12:30:54,12:30:54,Entry
Bill Gatesss,12:31:07,12:30:54,Exit
Elon Musk,12:31:15,12:30:44,Exit
Mark Zuckerberg,12:36:00,12:36:00,Entry
Elon Musk,12:36:08,12:36:08,Entry
Bill Gates,12:36:42,12:36:42,Entry
Bill Gates,12:39:13,12:39:13,Entry
Mark Zuckerberg,12:39:31,12:39:31,Entry
Elon Musk,12:39:40,12:39:40,Entry
Elon Musk,12:42:21,12:42:21,Entry
Mark Zuckerberg,12:42:32,12:42:32,Entry
Bill Gatesss,12:42:39,12:42:39,Entry
Elon Musk,12:42:47,12:42:21,Exit
Bill Gatesss,12:43:03,12:42:39,Exit
Bill Gates,19:01:42,19:01:42,Entry
Bill Gates,19:01:59,19:01:42,Exit
Elon Musk,19:03:00,19:03:00,Entry
Elon Musk,19:03:05,19:03:00,Exit
Bill Gatesss,19:07:24,19:07:24,Entry
Elon Musk,19:07:32,19:07:32,Entry
Elon Musk,19:07:36,19:07:32,Exit
Mark Zuckerberg,19:07:45,19:07:45,Entry
Mark Zuckerberg,19:08:07,19:07:45,Exit
Bill Gatesss,19:08:17,19:07:24,Exit
Bill Gatesss,19:10:58,19:10:58,Entry
Mark Zuckerberg,19:11:21,19:11:21,Entry
Mark Zuckerberg,19:11:25,19:11:21,Exit
Elon Musk,19:11:37,19:11:37,Entry
Elon Musk,19:34:25,19:34:25,Entry
Bill Gates,19:34:36,19:34:36,Entry
