NAME,ENTRY TIME,EXIT TIME
Elon Musk,13:07:52,Entry
Linda,13:07:58,Entry
Linda,13:07:58,13:08:01,Exit
Linda,13:11:10,Entry
Linda,13:11:10,13:11:19,Exit
Linda,13:11:10,13:11:22,Exit
Linda,13:11:10,13:11:28,Exit
Linda,13:11:10,13:11:34,Exit
Linda,13:11:10,13:11:38,Exit
Linda,13:11:10,13:11:41,Exit
Elon Musk,13:11:45,Entry
Linda,13:11:10,13:11:51,Exit
Linda,13:52:25,Entry
Linda,13:52:25,13:52:32,Exit
Linda,13:52:25,13:52:36,Exit
Linda,13:52:25,13:52:40,Exit
Linda,13:52:25,13:52:43,Exit
Linda,13:52:25,13:52:47,Exit
Linda,13:52:25,13:52:51,Exit
Linda,13:52:25,13:52:55,Exit
Linda,13:52:25,13:52:58,Exit
Linda,13:52:25,13:53:02,Exit
Linda,13:55:22,Entry
Linda,13:55:22,13:55:27,Exit
Linda,13:55:22,13:55:31,Exit
Linda,13:55:22,13:55:35,Exit
Elon Musk,13:55:47,Entry
Elon Musk,13:55:47,13:55:51,Exit
Linda,13:55:22,13:55:55,Exit
Linda,13:55:22,13:55:58,Exit
